,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리
595,산장관광지,경기도 가평군,,경기도 가평군 상면 덕현산장길 71 산장관광지,경기도 가평군 상면 덕현리 21,37.75420886,127.4105873,,,
596,맹종죽테마공원,경상남도 거제시,,경상남도 거제시 하청면 거제북로 700,경상남도 거제시 하청면 실전리 880-3,34.967708,128.650512,,,
597,거제박물관,경상남도 거제시,,경상남도 거제시 거제대로 3791(옥포동),경상남도 거제시 옥포동 1565,34.894071,128.686203,,,
598,거제시농업개발원,경상남도 거제시,,경상남도 거제시 거제면 거제남서로 3577,경상남도 거제시 거제면 서정리 855-9,34.856464,128.579187,,,
599,거제요트학교,경상남도 거제시,,경상남도 거제시 일운면 지세포해안로 41,경상남도 거제시 일운면 지세포리 929-88,34.833694,128.701885,,,
600,거제자연휴양림,경상남도 거제시,,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시 동부면 구천리 산103,34.785699,128.625943,,,
601,계도어촌체험마을,경상남도 거제시,,경상남도 거제시 사등면 가조로 837,경상남도 거제시 사등면 창호리 1070-14,34.974872,128.517512,,,
602,다대어촌체험마을,경상남도 거제시,,경상남도 거제시 남부면 다대5길 11,경상남도 거제시 남부면 다대리 424,34.73449995,128.630513,,,
603,도장포어촌체험마을,경상남도 거제시,,경상남도 거제시 남부면 도장포1길 76,경상남도 거제시 남부면 갈곶리 292-13,34.743449,128.662475,,,
604,쌍근어촌체험마을,경상남도 거제시,,경상남도 거제시 남부면 남부해안로 1094,경상남도 거제시 남부면 탑포리 504-1,34.762399,128.589438,,,
605,씨라인,경상남도 거제시,,경상남도 거제시 덕포5길 32-3,경상남도 거제시 덕포동 365-3,34.91111602,128.7102346,,,
606,오션어드벤처,경상남도 거제시,,경상남도 거제시 일운면 거제대로 2660,경상남도 거제시 일운면 소동리 115,34.843791,128.702943,,,
607,옥포대첩기념공원,경상남도 거제시,,경상남도 거제시 팔랑포2길 87,경상남도 거제시 옥포동 산1-1,34.902196,128.714059,,,
608,조선해양문화관,경상남도 거제시,,경상남도 거제시 일운면 지세포해안로 41,경상남도 거제시 일운면 지세포리 929-88,34.833694,128.701885,,,
609,지심도,경상남도 거제시,,경상남도 거제시 일운면 지심도길 56-12,경상남도 거제시 일운면 옥림리 산1,34.820647,128.751037,,,
610,칠천량해전공원,경상남도 거제시,,경상남도 거제시 하청면 칠천로 265-39,경상남도 거제시 하청면 연구리 산85-4,34.977629,128.628247,,,
611,포로수용소유적공원,경상남도 거제시,,경상남도 거제시 계룡로 61,경상남도 거제시 고현동 362,34.87637998,128.625371,,,
612,거제해금강,경상남도 거제시,,,경상남도 거제시 남부면 갈곶리 산 1,34.732851,128.683858,,,
613,외도,경상남도 거제시,,경남 거제시 일운면 외도길 17,경상남도 거제시 일운면 와현리 산 109,34.769507,128.711805,,,
614,김영삼전대통령생가기록전시관,경상남도 거제시,,경상남도 거제시 장목면 옥포대첩로 743,경상남도 거제시 장목면 외포리 1371,34.931413,128.715439,,,
615,문동휴양지,경상남도 거제시,,,경상남도 거제시 문동동 산 8,34.859998,128.664094,,,
616,바람의언덕,경상남도 거제시,,,경상남도 거제시 남부면 갈곶리 산14-47,34.742256,128.662967,,,
617,우제봉전망대,경상남도 거제시,,,경남 거제시 남부면 갈곶리 산2-16,34.732023,128.673563,,,
618,청마기념관,경상남도 거제시,,경상남도 거제시 둔덕면 방하2길 6,경상남도 거제시 둔덕면 방하리 505-1,34.854887,128.517123,,,
619,씨월드,경상남도 거제시,,경상남도 거제시 일운면 지세포해안로 15,경상남도 거제시 일운면 소동리 478-1,34.835848,128.701478,,,
620,알로에테마파크,경상남도 거제시,,경상남도 거제시 거제면 거제남서로 3937,경상남도 거제시 거제면 내간리 산121-3,34.835716,128.560282,,,
621,노을이물드는언덕,경상남도 거제시,,,경상남도 거제시 사등면 창호리 1475,34.954616,128.519341,,,
622,가조수협효시공원,경상남도 거제시,,경상남도 거제시 사등면 가조서로 7,경상남도 거제시 사등면 창호리 2080,34.929516,128.525144,,,
623,오-월드,대전광역시 중구,,대전광역시 중구 사정공원로 70(사정동),대전광역시 중구 사정동 142,36.28749924,127.3985039,,,
624,뿌리공원,대전광역시 중구,,대전광역시 중구 뿌리공원로 79(침산동),대전광역시 중구 침산동 364,36.28538043,127.3883000376,,,
625,아쿠아리움,대전광역시 중구,,대전광역시 중구 보문산공원로 469(대사동),대전광역시 중구 대사동 198-14,36.31005741,127.4209439,,,
626,소요산관광지,경기도 동두천시,,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산 1-1,37.94652177,127.0693409,,,
627,진하해수욕장,울산광역시 울주군,,울산광역시 울주군 서생면 진하길 7,울산광역시 울주군 서생면 진하리 307-2,35.3855388,129.3415755,,,
628,영남알프스 복합웰컴센터,울산광역시 울주군,,울산광역시 울주군 상북면 알프스온천5길 103-8,울산광역시 울주군 상북면 등억알프스리 515-4,35.55645417,129.0679842,,,
629,외고산옹기마을,울산광역시 울주군,,울산광역시 울주군 온양읍 외고산 3길 36,울산광역시 울주군 온양읍 고산리 501-18,35.435094,129.2795067,,,
630,울주 대곡리 반구대 암각화,울산광역시 울주군,,울산광역시 울주군 언양읍 반구대안길 285,울산광역시 울주군 언양읍 대곡리 991,35.60863087,129.172957,,,
631,작괘천,울산광역시 울주군,,,울산광역시 울주군 상북면 등억알프스리 18-2,35.563321,129.061043,,,
632,대운산 내원암 계곡,울산광역시 울주군,,울산광역시 울주군 온양읍 대운상대길 382,울산광역시 울주군 온양읍 운화리 1312,35.39913422,129.2309807,,,
633,간절곶 공원,울산광역시 울주군,,울산광역시 울주군 서생면 간절곶해안길 205,울산광역시 울주군 서생면 대송리 2,35.3625312,129.3591079,,,
634,명승 거창 수승대,경상남도 거창군,,경상남도 거창군 위천면 은하리길 2,경상남도 거창군 위천면 황산리 750-3,35.760923,127.8336763,,,
635,가조온천,경상남도 거창군,,경상남도 거창군 가조면 온천길161,경상남도 거창군 가조면 일부리 1301,35.69875771,128.0231044,,,
636,회산백련지,전라남도 무안군,,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,34.86034808,126.5300096,,,
637,은평역사한옥박물관,서울특별시 은평구,,서울특별시 은평구 연서로50길 8,서울특별시 은평구 진관동 135-5,37.6403324561,126.938010212,,,
638,금성당,서울특별시 은평구,,서울특별시 은평구 진관2로 57-23,서울특별시 은평구 진관동 175-836,37.635135471,126.9253799732,,,
639,괴강,충청북도 괴산군,,충청북도 괴산군 괴산읍 충민로검승3길 10,충청북도 괴산군 괴산읍 검승리 623,36.80676203,127.8252917,,,
