,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,별점,리뷰개수
318,어린이문화원,광주광역시,,,광주광역시 동구 남동 4-8,35.146915,126.920194,,1780000,,대전어린이문화센터,4.5,324
319,포충사,광주광역시,,광주광역시 남구 포충로 767 (원산동),,35.08945325,126.8484326,,22600,,광주 포충사,4.4,337
320,하정웅미술관,광주광역시,,광주광역시 서구 상무대로 1165,,35.15498216,126.8884415,,50000,,광주시립미술관 하정웅미술관,4.3,191
321,광주광역시시립미술관,광주광역시,,광주광역시 북구 하서로 52,,35.18323305,126.8857358,,327000,,광주광역시립미술관,4.4,930
322,수완호수공원,광주광역시,,광주광역시 광산구 장신로82번길 57,,35.18794733,126.8202489,,195000,,수완호수공원,4.1,471
323,국립아시아문화전당,광주광역시,,광주광역시 동구 문화전당로 38,,35.14691559,126.9199945,,2970000,,국립아시아문화전당,4.6,358
324,전통문화관,광주광역시,,광주광역시 동구 의재로 222,광주광역시 동구 운림동 323,35.1334851,126.9514045,,2720000,,대전전통나래관,4.0,53
325,광주광역시지산유원지,광주광역시,,광주광역시 동구 지호로164번길 14-10,,35.14875974,126.9468348,,35600,,무등산 지산유원지,3.9,961
326,광주광역시백범기념관,광주광역시,,광주광역시 동구 천변우로 599,광주광역시 동구 학동 1013,35.13113791,126.926364,,28000,,광주백범기념관,5.0,3
327,광주광역시학생독립기념관,광주광역시,,광주광역시 서구 학생독립로 30,,35.14058722,126.865043,,106000,,광주학생독립운동기념관,4.6,171
328,조선대학교 장미원,광주광역시,,광주광역시 동구 필문대로 309,,35.14600564,126.9343635,,39200,,조선대학교 장미원,None,None
329,산동교친수공원,광주광역시,,,광주광역시 북구 동림동 130-15,35.18969955,126.8619726,,7490,,산동교 친수공원,4.6,69
330,푸른길공원,광주광역시,,,광주광역시 남구 주월동 355-5,35.13325855,126.898694,,2720000,,푸른길,4.3,316
331,원효사,광주광역시,,,광주광역시 북구 금곡동 산 209-13,35.14874455,126.983272,,77700,,원효사,5.0,1
332,문화근린공원,광주광역시,,광주광역시 북구 대천로 86,,35.1849167,126.9166857,,2040000,,문화근린공원,3.0,2
333,영산강거징이쉼터,광주광역시,,,광주광역시 북구 신용동 368,35.2128207,126.855218,,412,,영산강 거징이 쉼터,4.6,32
334,광주광역시천천변공원,광주광역시,,,광주광역시 북구 임동 618,35.1665834,126.8857554,,85100,,광주천,5.0,1
335,전남대학교용지,광주광역시,,,광주광역시 북구 용봉동 81-2,35.17388133,126.9111447,,311000,,전남대학교 용지관,4.9,10
336,맥문동숲길,광주광역시,,,광주광역시 북구 문흥동 1012,35.18561007,126.9216152,,33000,,맥문동 숲길,4.5,176
337,용봉초록습지,광주광역시,,,광주광역시 북구 용봉동 1027,35.18332703,126.8898185,,2080,,용봉제,4.3,3
338,운암제,광주광역시,,,광주광역시 북구 운암동 1181-76,35.18259552,126.8817752,,592000,,운암제,4.0,1
339,국립5.18민주묘지,광주광역시,,광주광역시 북구 민주로 200,,35.23576619,126.9392544,,111000,,국립5.18묘지관리소,4.5,34
340,5.18추모관,광주광역시,,광주광역시 북구 민주로 200,광주광역시 북구 운정동 582-4,35.23576619,126.9392544,,10700,,국립5.18묘지관리소,4.5,34
341,광주광역시문화예술회관,광주광역시,,광주광역시 북구 북문대로 60,광주광역시 북구 운암동 328-16,35.178205,126.881993,,993000,,광주광역시 문화예술회관,4.3,1076
342,광주광역시기아챔피언스필드,광주광역시,,광주광역시 북구 서림로 10,광주광역시 북구 임동 316,35.16942496,126.8888055,,59500,,광주-기아 챔피언스 필드,4.6,447
343,광주광역시민속박물관,광주광역시,,광주광역시 북구 서하로 48-25,,35.18441617,126.8884364,,504000,,광주역사민속박물관,4.3,354
344,전남대학교박물관,광주광역시,,광주광역시 북구 용봉로 77,,35.17388133,126.911182,,1220000,,전남대학교 박물관,4.7,3
345,우치공원 동물원,광주광역시,,광주광역시 북구 우치로 677,광주광역시 북구 생용동 658,35.22431388,126.8942421,,51300,,우치공원동물원,4.3,1182
346,녹색에너지체험관 광주광역시전남지역본부,광주광역시,,광주광역시 북구 첨단과기로 123,광주광역시 북구 오룡동 1,35.22687915,126.8429479,,329000,,녹색에너지,None,None
347,광주광역시시민의숲,광주광역시,,광주광역시 북구 추암로 190,,35.23301946,126.8663369,,947000,,광주시민의숲야영장,4.2,392
348,광주광역시호호수생태원,광주광역시,,광주광역시 북구 충효샘길 7,,35.18421895,127.0011214,,65600,,광주호 호수생태원,4.5,2400
349,무등산풍암정,광주광역시,,광주광역시 북구 풍암제길 117,광주광역시 북구 금곡동 718,35.16047529,126.9932106,,4980,,풍암정,4.3,3
350,중외공원 산책로,광주광역시,,광주광역시 북구 하서로 50,,35.18145609,126.8842789,,13700,,중외공원,4.5,682
351,광주광역시어린이대공원,광주광역시,,광주광역시 북구 하서로 50,,35.18145609,126.8842789,,175000,,광주어린이대공원,4.2,317
352,5.18자유공원,광주광역시,,,광주광역시 서구 치평동 1161-6,35.14939198,126.8396500015,,140000,,5.18자유공원,4.5,382
353,전평제근린공원,광주광역시,,,광주광역시 서구 매월동 519-1,35.11557813,126.8484198,,2700,,매월호수공원(전평제근린공원),4.2,374
354,풍암생활체육공원,광주광역시,,,광주광역시 서구 풍암동 30,35.1308135,126.8834659,,36300,,풍암생활체육공원,4.4,568
