,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,리뷰개수
40,기독교역사박물관,전라남도 순천시,,전라남도 순천시 매산길 61(매곡동),전라남도 순천시 매곡동 179-10,34.96043473,127.4801207,4.4,268,,한국기독교역사박물관,52
41,승주골프장,전라남도 순천시,,전라남도 순천시 별량면 오실길 333,전라남도 순천시 별량면 덕정리 산90-1,34.89477542,127.4482083,4.5,267,,승주컨트리클럽,453
42,파인힐스골프장,전라남도 순천시,,전라남도 순천시 주암면 송광사길 99,전라남도 순천시 주암면 문길리 산20-2,35.03454985,127.2723022,4.3,0,,파인힐스 골프&호텔,583
43,레이크힐스골프장,전라남도 순천시,,전라남도 순천시 주암면 행정1길 77,전라남도 순천시 주암면 행정리 1,35.0453779,127.3092617,3.8,258,,Golfzoncounty Suncheon,984
44,순천컨트리클럽,전라남도 순천시,,전라남도 순천시 별량면 동화사길 85,전라남도 순천시 별량면 죽산리 447,34.86653556,127.4059214,3.9,254,,순천 CC,154
45,부영컨트리클럽,전라남도 순천시,,전라남도 순천시 해룡면 신대로 188,전라남도 순천시 해룡면 신대리 1043,34.94005246,127.5555065,3.9,263,,순천부영컨트리클럽,325
46,그림책도서관,전라남도 순천시,,전라남도 순천시 도서관길 33(동외동),전라남도 순천시 동외동 176,34.9579091,127.4860252,4.4,154,,그림책도서관,19
47,순천시청소년수련원,전라남도 순천시,,전라남도 순천시 서면 청소년수련원길 167,전라남도 순천시 서면 운평리 774-1,35.04652524,127.4733227,1.0,110,,청소년수련원,1
48,순천용오름마을,전라남도 순천시,,전라남도 순천시 주암면 운룡2길 17,전라남도 순천시 주암면 운룡리 798-1,35.0921171,127.2020571,4.4,221,,용오름전통테마마을,26
49,순천향매실마을,전라남도 순천시,,전라남도 순천시 월등면 계월길 138,전라남도 순천시 월등면 계월리 493,35.0622232,127.4045173,4.4,90,,향매실마을,19
50,순천생태마을,전라남도 순천시,,전라남도 순천시 승주읍 고산도목길 9,전라남도 순천시 승주읍 도정리 1642-1,35.06648711,127.3602718,4.2,251,,순천생태마을,5
51,거차뻘배체험마을,전라남도 순천시,,전라남도 순천시 별량면 거차길 130,전라남도 순천시 별량면 마산리 566-1,34.8375993,127.4474457,4.1,200,,순천만거차뻘배체험장,93
52,낙안민속자연휴양림,전라남도 순천시,,전라남도 순천시 낙안면 민속마을길 1600,전라남도 순천시 낙안면 동내리 산3-1,34.91226789,127.3523884,4.3,218,,낙안민속자연휴양림,175
53,은파관광지,전라북도 군산시,,전라북도 군산시 은파순환길9 (나운동),전라북도 군산시 나운동 1223-5,35.95536227,126.6890748,4.6,267,,은파관광지,123
54,금강호관광지,전라북도 군산시,,전라북도 군산시 성산면 철새로 120,전라북도 군산시 성산면 성덕리 411-1,36.01987856,126.7653058,3.7,104,,금강호휴게소,210
55,삼척해수욕장,강원도 삼척시,,강원도 삼척시 수로부인길 453,,37.47034344,129.1647024,4.7,305,,삼척해수욕장,27
56,맹방관광지,강원도 삼척시,,강원도 삼척시 근덕면 상맹방길 30-80,,37.39591618,129.2207941,4.1,0,,맹방관광지,176
57,장호관광지,강원도 삼척시,,강원도 삼척시 근덕면 삼척로 2154,,37.2868038,129.3079336,3.8,261,,삼척해상케이블카 장호역,4033
58,초당관광지,강원도 삼척시,,강원도 삼척시 근덕면 미근로 1629,,37.37650408,129.2047561,4.5,130,,두암초당(한옥 절벽),2
59,한탄강관광지,경기도 연천군,,경기도연천군전곡읍선사로76,경기도 연천군 전곡읍 전곡리 696-3,38.0088769865,127.0588603913,4.5,251,,한탄강 관광지,98
60,연천재인폭포,경기도 연천군,,,경기도 연천군 연천읍 부곡리 193,38.0767263059,127.1423450189,4.6,253,,재인폭포,276
61,연천호로고루,경기도 연천군,,,경기도 연천군 장남면 원당리 1258,37.985838723,126.859606534,4.3,273,,연천 호로고루,1664
62,당포성,경기도 연천군,,,경기도 연천군 미산면 동이리 778,38.0235032171,126.9854182081,4.3,0,,당포성,3
63,연천전곡리유적,경기도 연천군,,경기도연천군전곡읍양연로1510,경기도 연천군 전곡읍 전곡리 515,38.0156483828,127.0614526431,4.1,0,,연천 전곡리 유적 (국화축제장),1316
64,담양호국민관광지,전라남도 담양군,,,전라남도 담양군 용면 월계리 149-67,35.4019831,126.9990829,2.8,185,,담양호국민관광지,16
65,죽녹원,전라남도 담양군,,전라남도 담양군 담양읍 죽녹원로 119,전라남도 담양군 담양읍 향교리 산37-6,35.32535666,126.9866155,4.4,225,,죽녹원,10103
66,메타세쿼이아랜드,전라남도 담양군,,,전라남도 담양군 담양읍 학동리 578-4,35.32342607,127.001993,4.1,100,,메타세쿼이아가로수길,5770
67,소쇄원,전라남도 담양군,,전라남도 담양군 가사문학면 소쇄원길 17,전라남도 담양군 가사문학면 지곡리 123,35.18433903,127.0121793,4.1,252,,소쇄원 (瀟灑園),2545
68,한국대나무박물관,전라남도 담양군,,전라남도 담양군 담양읍 죽향문화로 35,전라남도 담양군 담양읍 천변리 401-1,35.30934367,126.9764088,4.0,0,,한국대나무박물관,588
69,한국가사문학관,전라남도 담양군,,전라남도 담양군 가사문학면 가사문학로 877,전라남도 담양군 가사문학면 지곡리 319,35.18796216,127.0054858,4.1,93,,한국가사문학관,237
70,슬로시티삼지내마을,전라남도 담양군,,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23522516,127.0178498,4.1,206,,삼지천 마을,112
71,화순온천,전라남도 화순군,,전라남도 화순군 백아면 옥리길 14-7,,35.1624699,127.0837781,4.0,225,,화순온천,1
72,도곡온천,전라남도 화순군,,전라남도 화순군 도곡면 온천2길 44,,35.02470562,126.903529,3.6,230,,도곡온천,55
73,운주사,전라남도 화순군,,전라남도 화순군 도암면 천태로 91-44,,34.92906333,126.8825635,4.4,358,,운주사,921
74,대둔산도립공원,전라북도 완주군,,전라북도 완주군 운주면 대둔산공원길 23,,36.11708032,127.3328815,4.4,230,,대둔산,109
75,모악산도립공원,전라북도 완주군,,전라북도 완주군 구이면 모악산길 91,,35.72946608,127.1098589,4.5,0,,모악산,55
76,고산자연휴양림,전라북도 완주군,,전라북도 완주군 고산면 고산휴양림로 246,,35.96224205,127.2328719,4.4,234,,고산자연휴양림,470
77,상관 공기마을 편백숲,전라북도 완주군,,전라북도 완주군 상관면 죽림편백길 191-24,,35.737491,127.2023884,4.1,220,,공기마을 편백나무숲,381
78,대아수목원&대아호,전라북도 완주군,,전라북도 완주군 동상면 대아수목로 94-34,,35.97623865,127.3003851,4.3,231,,대아 수목원,631
79,비비정,전라북도 완주군,,전라북도 완주군 삼례읍 비비정길 96-9,,35.90154901,127.071693,None,277,,비비정마을,None
80,비비정예술열차,전라북도 완주군,,전라북도 완주군 삼례읍 비비정길 73-21,,35.89880244,127.0676418,4.4,225,,비비정 예술열차,230
81,삼례문화예술촌,전라북도 완주군,,전라북도 완주군 삼례읍 삼례역로 81-13,,35.90623513,127.0658535,4.0,244,,삼례문화예술촌,674
82,삼례책마을,전라북도 완주군,,전라북도 완주군 삼례읍 삼례역로 68,,35.90745719,127.065756,4.4,246,,삼례책마을,203
83,그림책미술관,전라북도 완주군,,전라북도 완주군 삼례읍 삼례역로 48-1,,35.90832046,127.068059,4.0,117,,완주 그림책 미술관,1
84,대한민국술테마박물관,전라북도 완주군,,전라북도 완주군 구이면 덕천전원길 232-58,,35.726048,127.1361627,4.3,273,,대한민국 술테마박물관,506
85,완주전통문화체험장,전라북도 완주군,,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,4.6,236,,완주전통문화체험장,5
86,청소년전통문화체험관,전라북도 완주군,,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,4.6,219,,완주전통문화체험장,5
87,놀토피아,전라북도 완주군,,전라북도 완주군 고산면 대아저수로 416,,35.98879491,127.261342,4.4,271,,놀토피아,298
88,오성한옥마을,전라북도 완주군,,전라북도 완주군 소양면 오도길 73,,35.90695186,127.2367573,4.1,250,,오성 한옥마을,13
89,무궁화오토캠핑장,전라북도 완주군,,전라북도 완주군 고산면 고산휴양림로 89,,35.97398132,127.2315513,4.4,127,,고산자연휴양림,470
90,송광사&벚꽃길,전라북도 완주군,,전라북도 완주군 소양면 송광수만로 255-16,,35.885763,127.2417509,4.3,375,,종남산 송광사,602
91,위봉사&위봉폭포&위봉산성,전라북도 완주군,,전라북도 완주군 소양면 위봉길 53,,35.9105769,127.2572831,4.3,261,,위봉폭포,164
92,화암사,전라북도 완주군,,전라북도 완주군 경천면 화암사길 271,,36.06629938,127.2872339,3.8,268,,화암사,8
93,속초해수욕장,강원도 속초시,,강원도 속초시 해오름로 186,강원도 속초시 조양동 1464-7,38.19014712,128.603531,4.3,280,,속초해변,81
94,척산온천,강원도 속초시,,강원도 속초시 관광로 327,강원도 속초시 노학동 972-1,38.190269,128.5407013,4.1,232,,척산온천휴양촌,2603
95,설악한화리조트,강원도 속초시,,강원도 속초시 미시령로 2983번길 111,속초시 장사동 24-1,38.21030027,128.5287216,4.2,139,,선택하신 날짜에는 공유숙박 이용도 가능합니다.,6701
96,부평아트센터,인천광역시 부평구,,인천광역시 부평구 아트센터로 166,인천광역시 부평구 십정동 186-22,37.4822383,126.7049334,4.3,345,,부평아트센터,600
97,기후변화체험관,인천광역시 부평구,,인천광역시 부평구 장제로 267,인천광역시 부평구 갈산동 403,37.50932668,126.7307645,4.1,116,,부평굴포누리기후변화체험관,57
98,부평역사박물관,인천광역시 부평구,,인천광역시 부평구 굴포로 151,인천광역시 부평구 삼산동 451-1,37.51214216,126.7379081,4.3,326,,부평역사박물관,261
99,부평안전체험관,인천광역시 부평구,,인천광역시 부평구 굴포로 110,인천광역시 부평구 삼산동 441-6,37.51098789,126.7333177,4.0,324,,부평안전체험관,26
100,인천나비공원,인천광역시 부평구,,인천광역시 부평구 평천로 26-47,인천광역시 부평구 청천동 68-12,37.52026697,126.6927245,4.3,277,,인천나비공원,1029
101,용마폭포공원,서울특별시 중랑구,,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,37.57335201,127.0891138,4.4,241,,용마폭포공원,1805
102,망우리공원,서울특별시 중랑구,,서울특별시 망우로 570,서울특별시 중랑구 망우동 산 57-1,37.59835362,127.1148164,4.1,0,,망우리공원,14
103,중랑캠핑숲,서울특별시 중랑구,,서울특별시 망우로87길 110,서울특별시 중랑구 망우동 76,37.606893,127.1106972,4.3,261,,"중랑캠핑숲, 중랑가족캠핑장",780
104,옹기테마공원,서울특별시 중랑구,,서울특별시 신내로21길 116,서울특별시 중랑구 신내동 777,37.61265372,127.0885194,4.8,247,,봉화산 옹기테마공원,8
105,천안종합휴양관광지,충청남도 천안시,,충청남도 천안시 동남구 성남면 종합휴양지로 200,,36.75731215,127.2240961,None,269,,천안종합휴양관광지,None
106,태조산관광지,충청남도 천안시,,충청남도 천안시 동남구 태조산길 261,,36.82207666,127.1889559,4.1,0,,태조산,68
107,춘향테마파크,전라북도 남원시,,전라북도 남원시 양림길 14-9,,35.401464,127.386902,3.7,266,,춘향테마파크,1150
108,남원항공우주천문대,전라북도 남원시,,전라북도 남원시 양림길 48-63,,35.399194,127.387388,4.0,235,,남원항공우주천문대,141
109,남원시립김병종미술관,전라북도 남원시,,전라북도 남원시 함파우길 65-14,,35.398706,127.389555,4.5,218,,남원시립김병종미술관,663
110,혼불문학관,전라북도 남원시,,전라북도 남원시 사매면 노봉안길 52,,35.481096,127.319992,4.4,0,,혼불문학관,379
111,국악의 성지,전라북도 남원시,,전라북도 남원시 운봉읍 비전길 69,,35.459997,127.569101,4.4,266,,국악의성지,16
112,지리산허브밸리,전라북도 남원시,,전라북도 남원시 운봉읍 바래봉길 214,,35.435092,127.548617,4.1,228,,지리산허브밸리,274
113,남원백두대간생태교육장전시관,전라북도 남원시,,전라북도 남원시 운봉읍 운봉로 151,,35.397328,127.5079302349,4.2,115,,남원시백두대간생태교육장,133
114,만인의총,전라북도 남원시,,전라북도 남원시 만인로 3,,35.420404,127.377325,4.6,293,,만인의총,38
115,아담원,전라북도 남원시,,전라북도 남원시 이백면 목가길 193,,35.440571,127.476826,4.3,284,,아담원,505
116,남원관광지,전라북도 남원시,,전라북도 남원시 양림길 12,,35.402481,127.386137,3.7,117,,춘향테마파크,1150
117,농월정,경상남도 함양군,,경상남도 함양군 안의면 농월정길 9-35,경상남도 함양군 안의면 월림리 727-1,35.62464301,127.7815571,4.6,247,,농월정,27
118,달성토성마을,대구광역시 서구,,대구광역시 서구 국채보상로 83길 21 (비산동) 일대,대구광역시 서구 비산동 404-5,35.87331563,128.5753765,4.4,267,,달성토성(達城土城),9
119,오수의견관광지,전라북도 임실군,,전라북도 임실군 오수면 충효로 2096-16,"전라북도 임실군 오수면 오수리 33, 임실군문화체육센터",35.54520338,127.3326779,4.1,242,,오수의견공원,95
120,사선대관광지,전라북도 임실군,,전라북도 임실군 관촌면 사선2길 68-7,"전라북도 임실군 관촌면 관촌리 222, 사선대 관리 사무소",35.672357,127.2746265,4.1,255,,사선대관광지,304
121,율포해수욕장,전라남도 보성군,,전라남도 보성군 회천면 우암길 24,전라남도 보성군 회천면 동율리 678,34.6700292567,127.0890241277,4.2,227,,율포해수욕장,53
122,한국차문화공원,전라남도 보성군,,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.7198764301,127.0817099093,4.1,272,,한국차문화공원,523
123,황령산관광지,부산광역시 수영구,,부산광역시 수영구 황령산로 156,부산광역시 수영구 광안동 산 60-1,35.1552432,129.1029084,4.6,336,,황령산,69
124,고구려대장간마을,경기도 구리시,,경기도 구리시 우미내길 41,경기도 구리시 아천동 산45-1,37.56080787,127.1109492,4.1,268,,고구려대장간마을,848
125,대전문화예술단지,대전광역시,,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.366496,127.3880154,4.5,122,,대전예술의전당,1603
126,동구릉,경기도 구리시,,경기도 구리시 동구릉로 197,경기도 구리시 인창동 66-1,37.6171286013,127.136333982,4.4,301,,동구릉,224
127,우장춘기념관,부산광역시 동래구,,부산광역시 동래구 우장춘로62번길 7(온천동),부산광역시 동래구 온천동 850-48,35.213515,129.0720181,4.0,255,,우장춘기념관,45
128,장영실과학동산,부산광역시 동래구,,부산광역시 동래구 동래역사관길 18(복천동),부산광역시 동래구 복천동 1-2,35.20916308,129.0896688,3.7,267,,장영실 과학동산,11
129,박차정의사생가,부산광역시 동래구,,부산광역시 동래구 명륜로 98번길 129-10(칠산동),부산광역시 동래구 칠산동 319-1,35.20169645,129.090397,3.8,133,,박차정 생가,5
130,금강공원,부산광역시 동래구,,부산광역시 동래구 우장춘로 155 (온천동),부산광역시 동래구 온천동 291-1,35.21962513,129.075758,4.4,307,,금강공원,644
131,허심청,부산광역시 동래구,,부산광역시 동래구 온천장로107번길 32 (온천동),부산광역시 동래구 온천동 137,35.221157,129.0826889,4.3,260,,허심청 온천탕,3365
132,복천박물관,부산광역시 동래구,,부산광역시 동래구 복천로 63(복천동),부산광역시 동래구 복천동 16-5,35.20877662,129.0911741,4.3,329,,복천박물관,477
133,충렬사,부산광역시 동래구,,부산광역시 동래구 충렬대로 345,부산광역시 동래구 안락동 421-33,35.199577,129.0959922,4.3,155,,청주 충렬사,25
