,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리
0,안동문화관광지,경상북도 안동시,,안동시 관광단지로 346-30 (성곡동),안동시 성곡동 1559,36.5695076,128.7786154,,2480000,
1,하회관광지,경상북도 안동시,,안동시 풍천면 전서로 206,안동시 풍천면 하회리 287,36.5489594,128.5274931,,400000,
2,어답산관광지,강원도 횡성군,,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 539-1,37.59380861,128.0575207,,10200,
