,관광지,별점,리뷰수
182,북천,4.0,1
183,지리산역사관,4.0,70
184,하동알프스레포츠 짚와이어,3.3,3
185,하동 플라이웨이 케이블카,4.0,1
186,서창한옥문화관,4.0,41
187,하남 유니온파크,4.2,728
188,광주향교,2.5,2
189,하남 이성산성,4.3,"1,371"
190,미사경정공원,2.0,1
191,충주세계무술공원,3.9,"2,316"
192,충주체험관광센터,4.7,11
193,능암온천랜드,3.8,870
194,앙성탄산온천,3.4,326
195,평택호관광단지,3.7,"1,497"
196,산정호수,4.1,209
197,백운계곡,4.2,893
198,김해가야테마파크,3.9,"1,005"
199,김해 낙동강 레일바이크 밒 파크,4.2,296
200,가야랜드,3.9,"1,005"
201,김해천문대,4.7,9
202,롯데워터파크 김해,4.1,"4,715"
203,클레이아크 김해미술관,4.0,3
204,김해한옥체험관,3.9,70
205,노무현대통령생가,4.3,"1,232"
206,수로왕릉,4.4,273
207,부경동물원,2.7,11
208,해인사,4.6,"3,302"
209,대장경테마파크,4.4,99
210,오도산자연휴양림,4.4,270
211,합천박물관,4.1,208
212,황매산군립공원,4.5,527
213,청와대 세트장,4.2,20
214,합천댐물문화관,4.1,34
215,황계폭포,4.2,30
216,정양레포츠공원,4.1,305
217,정양늪 생태공원,4.1,305
218,해인사소리길,4.7,93
219,용문산관광지,4.4,"1,960"
220,두물머리,4.5,304
221,세미원,4.3,"8,890"
222,양평쉬자파크,4.3,954
223,용대전망대,4.1,154
224,상보안유원지,3.9,134
225,이안숲속,3.3,195
226,성류굴,3.8,526
227,백암폭포,4.3,3
228,인천도호부관아 (재현물),4.4,14
229,예당관광지,4.2,420
230,덕산온천 관광지,4.2,22
231,임진각관광안내소,4.2,"9,177"
232,공릉,4.5,81
233,정남진 전망대,4.1,906
234,실안 노을길,4.3,3
235,대광해수욕장,4.5,47
236,가우도,4.3,81
237,강진 영랑생가,4.3,12
238,경북대학교 대구캠퍼스,4.3,126
239,다산초당길,,
240,고려청자박물관,3.6,20
241,백련사,4.3,584
242,옥계해변,3.5,4
243,주문진해변,4.3,82
244,연곡해변,4.3,3
245,등명해변,4.4,57
246,대관령,4.4,45
247,팔봉산,4.1,29
248,선택하신 날짜에는 공유숙박 이용도 가능합니다.,4.2,"1,246"
249,수동국민관광단지,2.3,12
250,정읍 송정,4.3,44
251,영도웰컴센터,,
252,구암근린공원,,
253,양천향교,3.9,61
254,약사사,4.3,4
255,서울양천고성지,5.0,1
256,궁산땅굴역사전시관,4.4,127
257,허가바위,4.4,127
258,성기동국민관광지,3.0,2
259,마한문화공원,4.1,75
260,월출산국립공원,4.6,62
261,함지근린공원,4.3,333
262,한려수도조망케이블카,4.4,"1,307"
263,제승당,4.6,412
264,스카이라인루지 통영,4.6,7
265,박경리기념관,4.3,318
266,보령해저터널,4.2,25
267,장사도해상공원 까멜리아,4.5,"4,702"
268,통영시립박물관,3.8,"1,082"
269,통영 삼도수군통제영 統營 三道水軍統制營,4.3,550
270,춘천삼악산,4.3,33
271,청평사,4.3,714
272,구곡폭포,4.4,101
273,몰운대종합사회복지관,4.1,12
274,다대포 꿈의 낙조분수,4.5,"2,919"
275,다대포해수욕장,4.4,220
276,아미산 전망대,4.1,14
277,을숙도 생태공원,4.4,23
278,을숙도 철새공원,4.6,17
279,감천문화마을,4.3,411
280,장림포구,3.6,327
281,꽃보라동산,4.3,333
282,운암지 수변공원,4.4,"3,373"
283,팔달교,3.5,8
284,하중도 유채꽃단지,4.6,"3,073"
285,구암서원,4.0,2
286,침산정(砧山亭),4.3,333
